Año	perim	peso
1998	18,8	60,6
1998	20,2	75,2
1998	22,5	97,1
1998	20,5	78
1998	19,3	69,8
1998	18,9	58,6
1998	22	79,1
1998	16	42,1
1998	17,5	60,7
1998	23,5	94,8
1998	20,2	73,1
1998	16,5	50,4
1998	22,5	90,4
1998	20,5	81,4
1998	15,5	34,4
1998	15,2	40
1998	18,5	53,1
1998	18	47,7
1998	17	48
1998	18	57,3
1998	16,5	41,5
1998	16,2	46,1
1998	17,2	37,2
1998	9,3	10,2
1998	11,2	15,9
1998	15,9	41,2
1998	12,5	21,1
1998	11,3	15,6
1998	17	40,9
1998	13,2	23,5
1998	13	19,9
1998	13,3	21,5
1998	13,1	21,9
1998	14,4	32,4
1998	15,8	37,3
1998	13	22,9
1998	14	23,9
1998	13,2	22,7
1998	17,2	48,4
1998	15,1	34,3
1998	13,5	25
1998	10,6	11,6
1998	17,5	48,4
1998	13,8	30,6
1998	13,7	25,6
1998	17,8	54,4
1998	12,6	21
1998	10,8	12,3
1998	13,2	23,6
1998	16,1	37,3
1998	17,1	47,8
1998	17,1	46,1
1998	17	43,5
1998	17,9	55,3
1998	13,6	24,9
1998	16,6	46,9
1998	17	42,3
1998	15,7	30,7
1998	11	13,8
1998	17	47,4
1998	15,1	28,4
1998	17,5	45,9
1998	18,2	56,2
1998	15,8	38,7
1998	15,7	36,6
1998	16,7	41,5
1998	12,2	21,6
1998	13,6	21,4
1998	13,6	24,8
1998	17,1	47,4
1998	17,2	49,6
1998	17,4	46,4
1998	15,7	36
1998	14,6	32,1
1998	15,5	29,8
1998	12,8	24,4
1998	15,1	33,4
1998	14,2	27,6
1998	16	33,9
1998	14,8	31,2
1998	14,5	26
1998	15,5	34
1998	17,5	43,8
1998	11,7	18,3
1998	16,7	42,4
1998	12,6	17,5
1998	16,2	36,8
1998	14,6	29,6
1998	23	111,2
1998	20,3	91,8
1998	19,4	66,9
1998	21,5	110,1
1998	20,3	84,7
1998	23	116,4
1998	23,2	118,3
1998	24	140,7
1998	23,1	125,3
1998	25,7	138,2
1998	22,3	118,7
1998	23	115,3
1998	20,6	97,8
1998	19	78,2
1998	20,3	87,1
1998	21,8	122,5
1998	21,2	104,2
1998	21	92,1
1998	20,3	78,8
1998	23,1	107,6
1998	24,2	138,7
1998	21	93,2
1998	20	95,4
1998	21	93,7
1998	21,5	90,4
1998	24	123,6
1998	24,4	129,8
1998	25	123,6
1998	24,2	135,5
1998	23,1	102,8
1998	25,2	138,8
1998	21	123,2
1998	22	98,5
1998	23	114,2
1998	22,5	97,2
1998	22,2	109,3
1998	21,8	94,8
1998	22,7	119,8
1998	20,7	82,7
1998	20,9	90,2
1998	23,5	117,4
1998	24,2	119,9
1998	17,6	61,5
1998	18,6	60
1998	16,7	44,1
1998	16,3	50
1998	19,5	69,3
1998	15,5	37
1998	18,6	78,3
1998	17,2	52,3
1998	21,7	110,7
1998	17,4	52,8
1998	20,2	82,9
1998	16,2	47,8
1998	21,1	85,4
1998	14,5	31,7
1998	14,7	36
1998	12,3	22,5
1998	21,2	76,9
1998	16,7	51,7
1998	23	107,2
1998	19	68,5
1998	24,5	123,3
1998	21,5	108,4
1998	19,5	74,7
1998	18,2	67,9
1998	18,6	63,7
1998	22	99,2
1998	17,6	57,1
1998	17,2	59,3
1998	22,7	96,9
1998	19,9	66,3
1998	21,5	99,2
1998	18,7	63,7
1998	21,5	101
1998	18,7	66,9
1998	21,1	86,8
1998	13,5	27,6
1998	19,5	68,4
1998	15,2	41,5
1998	19	65,1
1998	18	57
1998	19,2	63,6
1998	15,6	36,1
1998	20,5	75,7
1998	20,3	80,5
1998	18	56,5
1998	17,8	52,8
1998	19,8	78,4
1998	20,2	70,1
1998	15	30,6
1998	21,5	92,9
1998	19	59,8
1998	20	79,9
1998	20,5	67,5
1998	21,1	91,8
1998	19,5	70,6
1998	19	70,8
1998	20	84,9
1998	21,4	100,8
1998	19,6	75,8
1998	17,5	54,9
1998	18	60,5
1998	21,1	92
1998	17	52,6
1998	15,7	39,8
1998	18,5	69,6
1998	17,6	49,4
1998	17,2	49,1
1998	16,1	40,9
1998	15,5	36,5
1998	15	35,6
1998	19,7	70,6
1998	18,2	57,3
1998	18,5	64,8
1998	16,7	48,4
1998	13,5	26,6
1998	16,2	47,1
1998	16,8	49,5
1998	22,7	104,3
1998	22,2	101,6
1998	21,8	102,2
1998	24,2	133,3
1998	20,4	81,6
1998	23,3	129,4
1998	21	94,9
1998	22,6	119,4
1998	20,7	87,5
1998	22,5	98,3
1998	24,8	137,5
1998	21	90,2
1998	21,2	80,1
1998	22,8	119,4
1998	20,9	88,8
1998	21,5	98,2
1998	21,2	105,2
1998	21,7	103,4
1998	21,5	104,8
1998	20,1	88,9
1998	20,3	93,3
1998	24,2	129,2
1998	22,6	121,1
1998	19	69,5
1998	21	85,5
1998	21,5	87,5
1998	20,5	73,8
1998	23,5	112,1
1998	24,5	129,4
1998	21,2	92,1
1998	22,5	104,4
1998	23,2	101,7
1998	21,2	97,9
1998	18,7	67,1
1998	20,4	92
1998	20,5	88,2
1998	19,2	78,1
1998	18,1	58,9
1998	20	74,9
1998	15,8	42,6
1998	18,7	69,9
1998	16,5	44,5
1998	15,4	36
1998	16,2	44,5
1998	14,5	31,8
1998	16,2	41,9
1998	14,6	34
1998	18,6	58,1
1998	19,3	74,5
1998	17,5	55,4
1998	19,1	14
1998	16,5	42,6
1998	17,2	57,7
1998	18	54,4
1998	21,8	98,2
1998	16	41,6
1998	18,2	60,4
1998	15,8	39,5
1998	19,3	69,8
1998	12,7	22,4
1998	19,6	74,4
1998	17,7	56,8
1998	16,5	43,4
1998	19,1	62,7
1998	13,3	23,2
1998	16,6	41,7
1998	20,8	82,8
1998	21,5	87
1998	19,5	66,2
1998	21	92,1
1998	16,3	42,2
1998	19	65,9
1998	19,5	67
1998	13,5	26,7
1998	15,6	35
1998	20,1	72,8
1998	17	42,2
1998	20,5	83,1
1998	16,8	51,3
1998	19,1	81,8
1998	17,8	63,1
1998	19,1	80,2
1998	19,2	67,7
1998	19	62,9
1998	19,3	74,4
1998	16,8	45,7
1998	17,6	55,8
1998	16,6	43,1
1998	17,2	44,4
1998	20,7	75,1
1998	18,6	67,4
1998	17,5	54,3
1998	18	62,4
1998	14,7	31,3
1998	16,2	47,7
1998	16,2	43,5
1998	10,7	15,2
1998	16	43,4
1998	18,5	62
1998	18,5	61,2
1998	16,1	36,8
1998	12,5	20,3
1998	18,2	51,1
1998	13,3	24,2
1998	14,5	37,1
1998	18,1	61,8
1998	15,6	40,3
1998	14,1	28,4
1998	24	129,3
1998	21,5	101,4
1998	22,3	104
1998	19	69,5
1998	18,3	63,9
1998	22,9	129,6
1998	19,7	90,6
1998	21,7	109,2
1998	18,2	59,7
1998	20,9	88,2
1998	20,4	87,3
1998	17,3	66,5
1998	22,8	112,1
1998	14,6	30,8
1998	21,5	103,2
1998	20,5	83,8
1998	18,1	60,2
1998	20,7	89,6
1998	23,5	127,1
1998	23,5	126,5
1998	24,6	127,5
1998	22	108,9
1998	17,7	55,7
1998	17,2	55
1998	17,5	63,1
1998	22,2	110,1
1998	16,7	49,4
1998	21,1	88,4
1998	21,1	88,9
1998	18	59,4
1998	22,8	100,6
1998	24,5	133
1998	22,1	110,6
1998	24	128
1998	18,9	63,2
1998	21,5	108,1
1998	17	46,6
1998	23,2	100,9
1998	16,1	49,8
1998	18,5	62,6
1998	20,2	87,8
1998	21,2	81,3
1998	21,8	99,9
1998	18,3	61,8
1998	17,4	53,4
1998	20,2	81,2
1998	20,2	77,3
1998	19,5	72,1
1998	16,1	40
1998	16,7	46,2
1998	19,5	69
1998	19,7	63,7
1998	19,1	63,1
1998	16	40,3
1998	20,5	82,9
1998	18	58,7
1998	17,6	55,6
1998	17	49,4
1998	22,4	98,9
1998	21,7	86,4
1998	20,5	84,1
1998	20,6	89,8
1998	21,7	95,2
1998	20,2	75,2
1998	20,2	75,6
1998	19,1	67,4
1998	21,6	89,2
1998	18,8	63,8
1998	21,9	100,8
1998	17	43,4
1998	19	64,3
1998	14,9	36,5
1998	21,2	86,5
1998	19	66,4
1998	20,9	89,8
1998	19,1	71,2
1998	25,1	139,6
1998	20,2	76
1998	20,6	81,1
1998	22,7	112,4
1998	23,2	114
1998	21	88,4
1998	21,2	94,6
1998	21	83,5
1998	19,2	66,5
1998	22,7	95,2
1998	22	101,7
1998	22	92,5
1998	19,2	73,2
1998	20,3	83,2
1998	19	75,6
1998	20	80,2
1998	18,7	68,7
1998	20,4	77,5
1998	22,2	101,5
1998	17,1	52
1998	12,8	20,7
1998	16	40,1
1998	18,2	58,6
1998	17,2	41,8
1998	15,6	42,1
1998	20,3	74,9
1998	15,7	42
1998	19,1	64,7
1998	14,2	27,2
1998	18,1	61,1
1998	15,3	36,9
1998	17,8	45,3
1998	15,5	39
1998	15,5	38,9
1998	19,2	66,6
1998	14,7	34,8
1998	15,9	35,2
1998	18,7	54,4
1998	10,2	13,3
1998	16,1	43,2
1998	16,5	50,2
1998	15,6	36,5
1998	10,8	13,8
1998	15,1	40,3
1998	19,8	106,2
1998	20,5	103
1998	22,3	124,7
1998	23,5	125,1
1998	21,2	90,9
1998	21,3	101,5
1998	21	99,6
1998	18,1	64,3
1998	19,1	74,8
1998	21,6	125,4
1998	22,8	120,6
1998	23,2	126,2
1998	19,9	76,8
1998	22,9	128,5
1998	21,1	92,2
1998	22,5	103
1998	21,5	88,7
1998	21,2	106,4
1998	20,3	83,6
1998	22,6	109,3
1998	23,5	115,8
1998	18,6	63,4
1998	20,8	89,2
1998	21,8	88,9
1998	22,1	122,4
1998	21,3	84,9
1998	15,5	36,3
1998	19,7	79,3
1998	15,6	36,2
1998	17,6	55,5
1998	13,8	28,5
1998	20,5	82,5
1998	21	82,7
1998	19,2	73,1
1998	20,8	86,3
1998	19,4	73,9
1998	17,3	55,7
1998	15,1	39
1998	19	63,7
1998	21,5	84,7
1998	17,8	60,5
1998	13,6	26,9
1998	13,7	27,2
1998	18,2	61,7
1998	13,8	27,2
1998	17,6	52,3
1998	13,1	23,6
1998	15,6	36,8
1998	21,7	90,9
1998	19,8	77,1
1998	18,2	50,8
1998	17,4	41,8
1998	18,1	55,1
1998	21,6	88,3
1998	15,9	38,7
1998	14,2	30,3
1998	14,8	33,4
1998	17,9	57,3
1998	16,5	41
1998	16,5	45,2
1998	20,3	78,4
1998	19,3	65,5
1998	20	77,5
1998	18,8	70,3
1998	16,7	45,6
1998	16,1	41,1
1998	13	23,6
1998	18,6	67,1
1998	13,3	23,1
1998	18,2	64,7
1998	20	83,6
1998	21,1	78,5
1998	19,3	70,4
1998	19,6	85,1
1998	20	84,8
1998	19,5	71,6
1998	16,1	47,7
1998	21,3	92,2
1998	21,5	94
1998	18,5	64,5
1998	16,5	43
1998	19,8	77,2
1998	22	115,6
1998	20	81,3
1998	22	113,9
1998	17	51,1
1998	18,5	66,5
1998	19,2	68,2
1998	17,2	48,2
1998	16,9	42,3
1998	16	46,4
1998	14,7	29,5
1998	14,4	24,5
1998	14,4	27,5
1998	14,9	33
1998	15,2	37,4
1998	13,5	26
1999	11,3	16,8
1999	14,4	31,5
1999	13,6	24,7
1999	13,5	21,9
1999	17,6	62,9
1999	17,2	57,6
1999	16,2	45,6
1999	16,5	47,9
1999	15,3	42,4
1999	17,8	56,8
1999	16,3	52,8
1999	17,3	61,8
1999	18,7	69,9
1999	15,2	42,8
1999	14,8	39,1
1999	12,8	25,8
1999	15,1	33,6
1999	14	31,6
1999	14,7	34,8
1999	17,5	41,9
1999	13,6	30
1999	14,9	38,5
1999	16,3	42,2
1999	12,2	21,2
1999	13,5	25,8
1999	16,4	40,2
1999	16	43,1
1999	13,3	31,3
1999	13,5	29,6
1999	15,7	44,9
1999	11,3	17,2
1999	14,7	30,6
1999	12,8	25,4
1999	14	37,9
1999	13,3	31,4
1999	13,8	31
1999	14,3	33,9
1999	14,2	34,8
1999	15,6	43,4
1999	13,6	31,4
1999	13,7	33,3
1999	11,5	18,2
1999	15,3	37,9
1999	13,2	29
1999	14,7	37,1
1999	11	18,8
1999	12,5	24,8
1999	12,2	21,3
1999	14,5	35,1
1999	14,5	36,6
1999	18	57,7
1999	14,2	36,1
1999	16,2	46,2
1999	16,5	47,7
1999	16,2	52,8
1999	14,5	37,8
1999	17,7	58,4
1999	16,7	53
1999	16,1	45,3
1999	19,6	65,3
1999	16	38,3
1999	16,2	43,1
1999	16,8	46,5
1999	13,8	25
1999	12,7	26
1999	14,1	27,4
1999	15	29,7
1999	14,5	34,9
1999	14,8	35,5
1999	12,7	22,3
1999	15,2	38,6
1999	14	30,1
1999	13,4	28,5
1999	15,1	36,8
1999	15,5	41,5
1999	14,2	28,3
1999	11,6	22,3
1999	9,3	11,9
1999	9	13,5
1999	13,6	33,9
1999	10	13,5
1999	13,3	29
1999	12,7	27,9
1999	10,6	17,9
1999	9,9	18,1
1999	12,2	28,1
1999	12,4	24,3
1999	12	22,3
1999	13	28,3
1999	13,4	29,1
1999	13	27,5
1999	15,2	41,1
1999	14,9	34,8
1999	14,7	36,6
1999	15,1	42,7
1999	14,8	39,4
1999	13	28,1
1999	12,6	24,9
1999	11,9	22,1
1999	9,1	12
1999	10,5	16,4
1999	10,5	17,6
1999	13	26,7
1999	12,8	24
1999	14,7	44,5
1999	17,5	64,7
1999	15,3	51,6
1999	17,8	59,6
1999	14,6	38,6
1999	13,4	27,5
1999	16	49,9
1999	12,5	26,3
1999	14,8	37,4
1999	17,5	61,6
1999	16,6	54,3
1999	11,6	18,9
1999	9,9	15,2
1999	18,1	57,5
1999	16,4	47,4
1999	14,5	37,7
1999	14,5	36,4
1999	13,6	30,3
1999	15,3	31,1
1999	19,2	70,4
1999	17	51,5
1999	13	23,6
1999	17,8	60,1
1999	17,8	50,1
1999	13	27,1
1999	14,8	26,7
1999	17,6	45,3
1999	15,1	39,3
1999	15	34,7
1999	13,5	28,6
1999	13,9	27,4
1999	13	27,4
1999	14,2	31,3
1999	14,4	36,6
1999	14	31,5
1999	15,3	35,6
1999	13,6	30,4
1999	15,3	42,9
1999	12,6	24,7
1999	12,3	23,4
1999	16,2	41,5
1999	15,1	40,6
1999	16	39
1999	12,8	23,2
1999	15,1	36,9
1999	14,7	35,4
1999	16	41,2
1999	13,8	30,1
1999	16,6	43,7
1999	15,7	46,3
1999	14,7	33,4
1999	16,4	47
1999	14	30,1
1999	14,2	29,6
1999	13,2	26,3
1999	15,2	40,1
1999	19	62,3
1999	17,2	50,6
1999	17,3	45,7
1999	16,3	44,2
1999	18,3	51,5
1999	15,1	34,6
1999	16,5	45,7
1999	11,3	16
1999	15,6	39,6
1999	11,2	14,5
1999	13,4	31
1999	14,8	36,4
1999	10	16,2
1999	13,1	27,8
1999	13,4	25,7
1999	10,8	18,4
1999	15,6	39,5
1999	9,7	11,7
1999	10,7	14,9
1999	12,9	27,7
1999	10,7	17,3
1999	17,6	60
1999	11,2	17,9
1999	15,3	45
1999	17	51,9
1999	14,5	35,6
1999	17	47,9
1999	15,1	41,4
1999	17,3	58,4
1999	16,5	46,8
1999	15	37,4
1999	18,1	60,1
1999	15,3	41,7
1999	17	50,2
1999	14,6	38,5
1999	16,2	49,8
1999	19,7	67,7
1999	17,2	53,4
1999	16,1	52,5
1999	15,8	43,1
1999	19,1	68,9
1999	16,2	50,6
1999	13,7	26
1999	17,5	59,7
1999	16,8	57,6
1999	15,7	43,9
1999	16	43,4
1999	13,6	27,7
1999	13,7	32,8
1999	13,1	27,8
1999	12,3	21,6
1999	15	34,7
1999	13,6	30,6
1999	15,7	42,1
1999	14,7	33,2
1999	14,2	31
1999	16,1	44
1999	11,6	21,1
1999	15	37,3
1999	13,9	31
1999	11,9	21
1999	12,7	22,1
1999	14	33,2
1999	11,6	18,5
1999	12,2	19,8
1999	14,2	31
1999	10,2	14,1
1999	15,3	40,8
1999	12,2	21,2
1999	13,7	30,6
1999	14,2	31,9
1999	13,9	29,4
1999	13,8	31,2
1999	15	37,3
1999	13,9	29,9
1999	11,5	18,3
1999	11,5	18,3
1999	15,3	41,8
1999	13	23,8
1999	13,1	28,2
1999	13,3	28,2
1999	14,6	35,8
1999	14	24,8
1999	14,2	34,8
1999	18,6	60,8
1999	18,8	64,1
1999	11,5	19,3
1999	13	21,5
1999	15,1	36,7
1999	15,5	37,5
1999	13,7	26,5
1999	16,7	47,6
1999	14,2	29,6
1999	15	38,1
1999	14,8	34,6
1999	13,7	31,7
1999	11,2	19,3
1999	10,5	14,3
1999	13,2	25,2
1999	13,3	25,8
1999	14,7	35,7
1999	14	32,1
1999	13,1	27,7
1999	13,4	28,5
1999	12,1	23,9
1999	12,1	22,7
1999	11,6	19,1
1999	19,5	74,3
1999	19,9	69,4
1999	23,1	119,4
1999	20,2	77,7
1999	19,5	77,6
1999	22,7	93,9
1999	20,6	85,4
1999	20	77,2
1999	18,7	67,7
1999	18,4	58,9
1999	18	51,6
1999	20,3	75,7
1999	21	77,2
1999	20,1	68,7
1999	16,7	49,9
1999	18,4	53,6
1999	21,7	72,4
1999	19	64,3
1999	19,2	65,5
1999	19,8	75,3
1999	19,1	71,7
1999	17,5	55,9
1999	18,3	58,7
1999	20,6	78,9
1999	20,6	69,1
1999	18,3	59,9
1999	20	71,6
1999	21,2	87
1999	21,2	89,5
1999	19,1	66,4
1999	20	76,6
1999	22	93,5
1999	14,1	31,1
1999	16,3	37,8
1999	15,1	31,9
1999	17	44,7
1999	16,5	34,1
1999	18,4	66,5
1999	13,5	24,1
1999	19,2	67
1999	21,5	79
1999	16,7	43,3
1999	17,2	43,8
1999	16,7	49,4
1999	12,4	19,6
1999	16	40,4
1999	19	54,6
1999	11,3	15,5
1999	15	35,1
1999	16	35,9
1999	19,1	68,7
1999	17,2	50,5
1999	14,5	32,4
1999	17,6	46,6
1999	16	45,4
1999	19,8	64,7
1999	16	38,9
1999	18,7	59
1999	16,8	49,8
1999	16,5	37,4
1999	15	36,1
1999	15	34,2
1999	17,8	55
1999	16,5	42,7
1999	14,7	33,7
1999	18,5	59,3
1999	21,1	80,3
1999	17,6	54
1999	16,1	43,6
1999	18,6	61,6
1999	16,3	43,3
1999	13,2	22,2
1999	16,5	37,9
1999	17	44,4
1999	21	70,9
1999	14,2	29,1
1999	13,2	24,9
1999	22	86,1
1999	20,5	80,2
1999	17	49,9
1999	17,6	51,1
1999	18,3	57,3
1999	17	45
1999	18,2	53,4
1999	19,9	56,3
1999	17,9	58,6
1999	14,6	29,9
1999	15,8	41,7
1999	15,5	34,8
1999	19,2	59,8
1999	20,3	76,8
1999	16,3	37,5
1999	16,7	41,6
1999	19,1	73,6
1999	19	64,4
1999	16,6	46,7
1999	18,6	54,7
1999	17,2	42,9
1999	13,6	26,6
1999	16,5	44,8
1999	15,1	33,8
1999	14,5	31,7
1999	16,2	40,6
1999	13,4	28,5
1999	14,6	33
1999	15,1	29,5
1999	17	45,8
1999	15,6	36
1999	14,5	32,4
1999	14,1	30,9
1999	16,5	42
1999	15,5	44,3
1999	17,5	45,9
1999	13,5	26,1
1999	18,3	42,6
1999	15	32,9
1999	17,4	45,9
1999	20,8	84
1999	16,3	43,4
1999	18,2	59,3
1999	15,4	39,9
1999	20	69,1
1999	16	43
1999	16,2	38,1
1999	18,8	66,4
1999	19,5	71
1999	18,3	62
1999	20,2	82,3
1999	16,5	55,1
1999	19,5	58,9
1999	18	62,5
1999	19,2	65,4
1999	17,5	56,1
1999	19,9	74,1
1999	18	58,6
1999	15,5	40,2
1999	18,2	57
1999	19,5	75,7
1999	18,2	59,4
1999	20,9	81,8
1999	16,6	42,6
1999	17,2	56
1999	16,3	45,6
1999	16,1	41,3
1999	18	55,7
1999	15	35,8
1999	18,5	64,3
1999	18,5	65,4
1999	18,2	50,6
1999	14,1	27,7
1999	14,9	36,5
1999	18,1	56,2
1999	16,9	43,5
1999	14,8	33,1
1999	15,3	38,1
1999	11,5	17,2
1999	14,1	29,8
1999	15,8	39
1999	12,6	21,9
1999	14,5	29,9
1999	15	32,7
1999	14,1	28,7
1999	17,5	48,8
1999	11,6	18
1999	13,3	23,8
1999	16,6	50,1
